Variable,Etiqueta,Codigo,Valor
mupio_ocu,Municipio de ocurrencia,1320,San Sebastián Huehuetenango
mupio_ocu,Municipio de ocurrencia,1321,Tectitán 
mupio_ocu,Municipio de ocurrencia,1322,Concepción Huista
mupio_ocu,Municipio de ocurrencia,1323,San Juan Ixcoy
mupio_ocu,Municipio de ocurrencia,1324,San Antonio Huista
mupio_ocu,Municipio de ocurrencia,1325,San Sebastián Coatán
mupio_ocu,Municipio de ocurrencia,1326,Barrillas
mupio_ocu,Municipio de ocurrencia,1327,Aguacatán
mupio_ocu,Municipio de ocurrencia,1328,San Rafael Petzal
mupio_ocu,Municipio de ocurrencia,1329,San Gaspar Ixchil
mupio_ocu,Municipio de ocurrencia,1330,Santiago Chimaltenango
mupio_ocu,Municipio de ocurrencia,1331,Santa Ana Huista
mupio_ocu,Municipio de ocurrencia,1332,Unión Cantinil
mupio_ocu,Municipio de ocurrencia,1333,Petatán
mupio_ocu,Municipio de ocurrencia,1401,Santa Cruz del Quiché
mupio_ocu,Municipio de ocurrencia,1402,Chiché
mupio_ocu,Municipio de ocurrencia,1403,Chinique
mupio_ocu,Municipio de ocurrencia,1404,Zacualpa
mupio_ocu,Municipio de ocurrencia,1405,Chajul
mupio_ocu,Municipio de ocurrencia,1406,Chichicastenango
mupio_ocu,Municipio de ocurrencia,1407,Patzité
mupio_ocu,Municipio de ocurrencia,1408,San Antonio Ilotenango
mupio_ocu,Municipio de ocurrencia,1409,San Pedro Jocopilas
mupio_ocu,Municipio de ocurrencia,1410,Cunén
mupio_ocu,Municipio de ocurrencia,1411,San Juan Cotzal
mupio_ocu,Municipio de ocurrencia,1412,Joyabaj
mupio_ocu,Municipio de ocurrencia,1413,Santa María Nebaj
mupio_ocu,Municipio de ocurrencia,1414,San Andrés Sajcabajá
mupio_ocu,Municipio de ocurrencia,1415,San Miguel Uspantán
mupio_ocu,Municipio de ocurrencia,1416,Sacapulas
mupio_ocu,Municipio de ocurrencia,1417,San Bartolomé Jocotenango
mupio_ocu,Municipio de ocurrencia,1418,Canillá
mupio_ocu,Municipio de ocurrencia,1419,Chicamán
mupio_ocu,Municipio de ocurrencia,1420,Ixcán
mupio_ocu,Municipio de ocurrencia,1421,Pachalum
mupio_ocu,Municipio de ocurrencia,1501,Salamá
mupio_ocu,Municipio de ocurrencia,1502,San Miguel Chicaj
mupio_ocu,Municipio de ocurrencia,1503,Rabinal
mupio_ocu,Municipio de ocurrencia,1504,Cubulco
mupio_ocu,Municipio de ocurrencia,1505,Granados
mupio_ocu,Municipio de ocurrencia,1506,El Chol
mupio_ocu,Municipio de ocurrencia,1507,San Jerónimo
mupio_ocu,Municipio de ocurrencia,1508,Purulhá
mupio_ocu,Municipio de ocurrencia,1601,Cobán
mupio_ocu,Municipio de ocurrencia,1602,Santa Cruz Verapaz
mupio_ocu,Municipio de ocurrencia,1603,San Cristóbal Verapaz
mupio_ocu,Municipio de ocurrencia,1604,Tactic
mupio_ocu,Municipio de ocurrencia,1605,Tamahú
mupio_ocu,Municipio de ocurrencia,1606,Tucurú
mupio_ocu,Municipio de ocurrencia,1607,Panzós
mupio_ocu,Municipio de ocurrencia,1608,Senahú
mupio_ocu,Municipio de ocurrencia,1609,San Pedro Carchá
mupio_ocu,Municipio de ocurrencia,1610,San Juan Chamelco
mupio_ocu,Municipio de ocurrencia,1611,Lanquín
mupio_ocu,Municipio de ocurrencia,1612,Cahabón
mupio_ocu,Municipio de ocurrencia,1613,Chisec
mupio_ocu,Municipio de ocurrencia,1614,Chahal
mupio_ocu,Municipio de ocurrencia,1615,Fray Bartolomé de las Casas
mupio_ocu,Municipio de ocurrencia,1616,Santa Catarina La Tinta
mupio_ocu,Municipio de ocurrencia,1617,Raxruhá
mupio_ocu,Municipio de ocurrencia,1701,Flores
mupio_ocu,Municipio de ocurrencia,1702,San José
mupio_ocu,Municipio de ocurrencia,1703,San Benito
mupio_ocu,Municipio de ocurrencia,1704,San Andrés
mupio_ocu,Municipio de ocurrencia,1705,La Libertad
mupio_ocu,Municipio de ocurrencia,1706,San Francisco
mupio_ocu,Municipio de ocurrencia,1707,Santa Ana
mupio_ocu,Municipio de ocurrencia,1708,Dolores
mupio_ocu,Municipio de ocurrencia,1709,San Luis
mupio_ocu,Municipio de ocurrencia,1710,Sayaxché
mupio_ocu,Municipio de ocurrencia,1711,Melchor de Mencos
mupio_ocu,Municipio de ocurrencia,1712,Poptún
mupio_ocu,Municipio de ocurrencia,1713,Las Cruces
mupio_ocu,Municipio de ocurrencia,1714,El Chal
mupio_ocu,Municipio de ocurrencia,1801,Puerto Barrios
mupio_ocu,Municipio de ocurrencia,1802,Livingston
mupio_ocu,Municipio de ocurrencia,1803,El Estor
mupio_ocu,Municipio de ocurrencia,1804,Morales
mupio_ocu,Municipio de ocurrencia,1805,Los Amates
mupio_ocu,Municipio de ocurrencia,1901,Zacapa
mupio_ocu,Municipio de ocurrencia,1902,Estanzuela
mupio_ocu,Municipio de ocurrencia,1903,Río Hondo
mupio_ocu,Municipio de ocurrencia,1904,Gualán
mupio_ocu,Municipio de ocurrencia,1905,Teculután
mupio_ocu,Municipio de ocurrencia,1906,Usumatlán
mupio_ocu,Municipio de ocurrencia,1907,Cabañas 
mupio_ocu,Municipio de ocurrencia,1908,San Diego
mupio_ocu,Municipio de ocurrencia,1909,La Unión
mupio_ocu,Municipio de ocurrencia,1910,Huité
mupio_ocu,Municipio de ocurrencia,1911,San Jorge
mupio_ocu,Municipio de ocurrencia,2001,Chiquimula
mupio_ocu,Municipio de ocurrencia,2002,San José la Arada
mupio_ocu,Municipio de ocurrencia,2003,San Juan Ermita
mupio_ocu,Municipio de ocurrencia,2004,Jocotán
mupio_ocu,Municipio de ocurrencia,2005,Camotán
mupio_ocu,Municipio de ocurrencia,2006,Olopa
mupio_ocu,Municipio de ocurrencia,2007,Esquipulas
mupio_ocu,Municipio de ocurrencia,2008,Concepción las Minas
mupio_ocu,Municipio de ocurrencia,2009,Quezaltepeque
mupio_ocu,Municipio de ocurrencia,2010,San Jacinto 
mupio_ocu,Municipio de ocurrencia,2011,Ipala
mupio_ocu,Municipio de ocurrencia,2101,Jalapa
mupio_ocu,Municipio de ocurrencia,2102,San Pedro Pinula
mupio_ocu,Municipio de ocurrencia,2103,San Luis Jilotepeque
mupio_ocu,Municipio de ocurrencia,2104,San Manuel Chaparrón
mupio_ocu,Municipio de ocurrencia,2105,San Carlos Alzatate
mupio_ocu,Municipio de ocurrencia,2106,Monjas
mupio_ocu,Municipio de ocurrencia,2107,Mataquescuintla
mupio_ocu,Municipio de ocurrencia,2201,Jutiapa
mupio_ocu,Municipio de ocurrencia,2202,El Progreso
mupio_ocu,Municipio de ocurrencia,2203,Santa Catarina Mita
mupio_ocu,Municipio de ocurrencia,2204,Agua Blanca
mupio_ocu,Municipio de ocurrencia,2205,Asunción Mita
mupio_ocu,Municipio de ocurrencia,2206,Yupiltepeque
mupio_ocu,Municipio de ocurrencia,2207,Atescatempa
mupio_ocu,Municipio de ocurrencia,2208,Jerez 
mupio_ocu,Municipio de ocurrencia,2209,El Adelanto
mupio_ocu,Municipio de ocurrencia,2210,Zapotitlán
mupio_ocu,Municipio de ocurrencia,2211,Comapa
mupio_ocu,Municipio de ocurrencia,2212,Jalpatagua
mupio_ocu,Municipio de ocurrencia,2213,Conguaco
mupio_ocu,Municipio de ocurrencia,2214,Moyuta
mupio_ocu,Municipio de ocurrencia,2215,Pasaco
mupio_ocu,Municipio de ocurrencia,2216,San José Acatempa
mupio_ocu,Municipio de ocurrencia,2217,Quesada
zona_ocu,Zona de ocurrencia,99,Ignorada
sexo_per,Sexo de la persona,1,Hombre
sexo_per,Sexo de la persona,2,Mujer
sexo_per,Sexo de la persona,9,Ignorado
edad_per,Edad de la persona,999,Ignorada
g_edad_80ymás,Grupo de edad 80 y más,1,Menor de 15
g_edad_80ymás,Grupo de edad 80 y más,2,15-19
g_edad_80ymás,Grupo de edad 80 y más,3,20-24
g_edad_80ymás,Grupo de edad 80 y más,4,25-29
g_edad_80ymás,Grupo de edad 80 y más,5,30-34
g_edad_80ymás,Grupo de edad 80 y más,6,35-39
g_edad_80ymás,Grupo de edad 80 y más,7,40-44
g_edad_80ymás,Grupo de edad 80 y más,8,45-49
g_edad_80ymás,Grupo de edad 80 y más,9,50-54
g_edad_80ymás,Grupo de edad 80 y más,10,55-59
g_edad_80ymás,Grupo de edad 80 y más,11,60-64
g_edad_80ymás,Grupo de edad 80 y más,12,65-69
g_edad_80ymás,Grupo de edad 80 y más,13,70-74
g_edad_80ymás,Grupo de edad 80 y más,14,75-80
g_edad_80ymás,Grupo de edad 80 y más,15,80 y más
g_edad_80ymás,Grupo de edad 80 y más,16,Ignorado
g_edad_60ymás,Grupo de edad 60 y más,1,Menor de 15
g_edad_60ymás,Grupo de edad 60 y más,2,15-19
g_edad_60ymás,Grupo de edad 60 y más,3,20-24
g_edad_60ymás,Grupo de edad 60 y más,4,25-29
g_edad_60ymás,Grupo de edad 60 y más,5,30-34
g_edad_60ymás,Grupo de edad 60 y más,6,35-39
g_edad_60ymás,Grupo de edad 60 y más,7,40-44
g_edad_60ymás,Grupo de edad 60 y más,8,45-49
g_edad_60ymás,Grupo de edad 60 y más,9,50-54
g_edad_60ymás,Grupo de edad 60 y más,10,55-59
g_edad_60ymás,Grupo de edad 60 y más,11,60 y más
g_edad_60ymás,Grupo de edad 60 y más,12,Ignorado
